""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"LTRIS3"	2062.91105441321	-0.560684665741303	0.102201000595596	-5.48081666852156	4.23367009874845e-08	7.25468526715812e-06
"RLTR11B"	6627.29057523443	0.00342159406333362	0.0612536562717231	0.0558602141394122	0.955453165831603	0.998384441716593
"MER72B"	169.320044054662	0.00137385692535188	0.134979783763938	0.0101759275085578	0.991880924670347	0.998384441716593
"MLT1E3-int"	73.0036913217584	0.0120500392281614	0.137909864564573	0.0874176047691325	0.930339576364119	0.998384441716593
"HERVL40-int"	1001.82846681892	0.0362475313944953	0.0813337037225769	0.4456511752498	0.655849238108338	0.980930924288683
"LTR40a"	3710.27308662882	0.128209779443065	0.0626215819705188	2.04734244050027	0.0406244736036866	0.387091996771902
"LTR68"	343.1613316211	0.0656399298242339	0.107383352324016	0.611155678364732	0.541096522237358	0.980930924288683
"MER57E2"	260.727274822328	0.0548117149836559	0.114517855664162	0.47849606046391	0.632297177568656	0.980930924288683
"L1MDb"	2203.19227810553	0.0310817235395295	0.0742402386458216	0.418658706231849	0.67546557854321	0.980930924288683
"(CATAA)n"	109.952878844594	-0.0493520315717292	0.13288997021238	-0.371093561212787	0.710567846598179	0.980930924288683
"MLT2C1"	3707.02422096503	0.0526905883368091	0.0604485710347908	0.871658253492926	0.383394840935049	0.958728696900137
"RLTR44C"	2449.9004494568	-0.138514319847406	0.0813325904938073	-1.70301523567909	0.0885652172289038	0.603891202128246
"MLT1E1"	2923.6157258805	0.0660790024677232	0.0638156535751244	1.03545532236542	0.300456321042368	0.952623789671694
"MLTR31D_MM"	2615.24672177682	0.00884964400417617	0.0615511694352729	0.143778123830166	0.885675678023219	0.991660183240323
"RLTR26C_MM"	4164.78080606078	0.0618679209448982	0.0653548278442358	0.946634587977467	0.343825012701739	0.958728696900137
"BGLII_Mus"	3972.39539404975	-0.0126142910734948	0.0702671761453686	-0.179518130487304	0.857530882499131	0.991660183240323
"(CCCA)n"	1282.23994928633	0.0384461544636793	0.104651713817334	0.367378255413899	0.713336889013663	0.980930924288683
"MER58A"	12850.0641832422	0.00667581926981887	0.0554410578290823	0.120413221201076	0.904155818602101	0.993622511297362
"RLTR6_Mm"	4038.93008440288	-0.357051270997786	0.105535640727639	-3.38057089418575	0.00072335411819188	0.0171038247946661
"(ATTG)n"	1220.07242661291	-0.0488426897270074	0.0797684724885196	-0.612341000621091	0.540312168151764	0.980930924288683
"MER136"	64.0111865616978	-0.0187377714742773	0.138428589013529	-0.135331697925913	0.892349624282655	0.991660183240323
"MER135"	703.302414596035	0.0578566359368497	0.0949033276089319	0.609573147463764	0.542144604025661	0.980930924288683
"(CTTA)n"	247.982315286738	0.129750501310183	0.132624016950034	0.979807753617175	0.327181024058294	0.958728696900137
"MLT1H"	11152.0038650158	0.0193276666844772	0.0596779637646794	0.323866505149784	0.746039103404804	0.980930924288683
"RLTR30C_MM"	897.334060157287	0.0639838634385681	0.0823690655377569	0.776768545282652	0.437295337736459	0.974278062494907
"RLTR12C"	2248.09420965807	0.0338830469006039	0.0631703374359321	0.536369128343746	0.591703463082559	0.980930924288683
"MER94"	1242.71278760265	0.112381994418471	0.0756494964513016	1.48541525011561	0.13743385836942	0.740728074888126
"ERVB3_1-I_MM-int"	2326.91352084817	-0.248000878149359	0.0952517092566096	-2.60297802638225	0.00924178768051841	0.13414317564
"MTE2a-int"	5315.2251447919	0.139587627402441	0.0756170486377172	1.84605810978756	0.0648837683951972	0.528303221982841
"(CCCTAA)n"	12306.1030434493	0.0553880050597755	0.0701977710591056	0.789040599709021	0.430088277648925	0.971627694780972
"L1M"	898.140650095882	0.00502582175092907	0.0829870920348055	0.0605646249775535	0.95170594696125	0.998384441716593
"LTR80A"	504.388540205847	0.0268251650736681	0.0958693275959235	0.279833494023807	0.779605253346013	0.983021547916319
"(ATTAG)n"	31.616659270463	-0.0414741749624396	0.124726882716088	-0.333114743965652	0.739047670295211	0.980930924288683
"MADE2"	394.302941638201	0.0905218432806227	0.108430511448145	0.834927826887108	0.403758345986816	0.963227195706413
"BLACKJACK"	3075.32778620951	-0.0339437366598876	0.0645265744871876	-0.526044259381954	0.598857455855105	0.980930924288683
"Arthur1C"	508.251244391679	0.0946353728852821	0.0963997351057731	0.981739923211043	0.326227991780454	0.95857031884861
"tRNA-Ala-GCA"	1078.85426533508	0.0147756904976678	0.0812211909046035	0.181914176683825	0.855650078748092	0.991660183240323
"LTR40c"	1180.80045290842	0.151747540467676	0.097805546152415	1.55153554958473	0.120773394863188	0.697235789864341
"ZP3AR"	10327.5418093306	-0.198846800126287	0.104493579979478	-1.90206115630882	0.0571631598749915	0.481320631011998
"Charlie8"	2794.15432041206	-0.00463016643536839	0.0678909721104678	-0.0681983443669001	0.945627744908699	0.998384441716593
"(CGG)n"	798.747112470371	-0.142427803068685	0.133230158411507	-1.0670591536115	0.285945125080997	0.945435320388917
"RLTR13C3"	8115.89442852942	0.206029122068236	0.0920858757377351	2.23788550486806	0.0252285225278633	0.276040491046996
"(CG)n"	327.881431933213	-0.0154808078083029	0.122329043653425	-0.126527651439505	0.899314262249953	0.992767099742795
"(CTCA)n"	1212.07052746277	-0.0139288952856251	0.0879324184343186	-0.158394350317975	0.8741460653763	0.991660183240323
"LTRIS_Mm"	8157.98910363909	-0.111317869196235	0.0827321611749294	-1.34543362401058	0.178485242979763	0.795317222517728
"(CAGG)n"	2052.04798232283	-0.188613207815438	0.117825407684165	-1.59938762484159	0.109734500292868	0.662019660203066
"(CGGG)n"	78.0163494320731	-0.0486233487964359	0.137914204408778	-0.351807060722896	0.724982962978407	0.980930924288683
"MER112"	884.590260516063	0.0356480292236758	0.0811373976597834	0.439335748372273	0.660418274968186	0.980930924288683
"(GGATG)n"	336.561406697714	-0.105712936951283	0.108896807714625	-0.970766719197153	0.331664458993252	0.958728696900137
"RMER30"	9606.60408942415	0.024105510143925	0.0521990026014145	0.461799494281881	0.64422511358638	0.980930924288683
"Charlie29a"	1181.69193052175	0.0343400594898696	0.0831097716153003	0.413205339206953	0.679456176643446	0.980930924288683
"L1MCc"	2112.85964918556	0.0192620534138713	0.0634760682461517	0.303449128984603	0.761547609980744	0.982498349823992
"(CACG)n"	1273.95156827832	-0.115452206905549	0.102431389521624	-1.12684598732063	0.259807603208136	0.929271450872466
"(AGGGGG)n"	520.15107306053	-0.0900589879041046	0.106322740698037	-0.846969426668223	0.397012162840738	0.960983464249729
"(GGGTG)n"	933.469904129881	-0.0770532945142951	0.114830596032401	-0.670762892249774	0.502371590320625	0.980930924288683
"MER67A"	837.293472033836	0.0110130394362259	0.092782873738992	0.118693092167022	0.905518509511876	0.993630340527254
"LTR85a"	829.838726183793	0.0373278553570811	0.079747947412719	0.468057002320923	0.639743826687021	0.980930924288683
"LTR31"	924.386842518702	0.0905261311994188	0.0798218623623859	1.13407686528301	0.256762306928701	0.927126950634178
"LTR103_Mam"	248.896905460698	-0.0251517825944818	0.113966698215631	-0.220712463089653	0.825316326623763	0.989191672783171
