""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"MER124"	994.428866221428	0.0444554649830482	0.0765880303650021	0.580374397720738	0.561662166409122	0.999457336074246
"(CTGTG)n"	21303.0856835416	-0.0255098131226935	0.0718578518243216	-0.35503821073558	0.722560965505109	0.999457336074246
"MER76"	1736.97461969446	0.0746653543272365	0.0742306954630425	1.00605143629635	0.314390827898078	0.999457336074246
"RLTR35B_MM"	3556.22251742732	0.0566657830468496	0.0684408500335363	0.828047717745744	0.407643476573388	0.999457336074246
"MT-int"	4392.9225403854	0.00112697640120767	0.0699031218144607	0.0161215365901114	0.987137432032765	0.999457336074246
"RLTR8"	2217.06513945049	-0.0142029813439966	0.0766432386590603	-0.185289754850166	0.853001773342482	0.999457336074246
"hAT-N1_Mam"	707.239847663326	0.00633631969405146	0.0758833016067463	0.0834883867093335	0.933463211216933	0.999457336074246
"MamRep488"	158.959296558709	0.0284940293099195	0.0568107878322474	0.501886741230941	0.615747192346384	NA
"X8_LINE"	443.295803021601	-0.0626847492752846	0.0600412115053069	-1.04527446660296	0.295896135120269	0.999457336074246
"MER63B"	3095.64776427157	0.0967379561603779	0.0671581751066193	1.4406000277032	0.149697712601275	0.999457336074246
"Charlie17a"	289.939575540403	-0.0642722119017465	0.0645547782343926	-0.99700917997871	0.318760054063797	NA
"(CTAG)n"	64.9164204452709	-0.00314428542542392	0.0324129324677131	-0.0973535083817755	0.922445664219139	NA
"LTR88b"	938.598503374825	0.0144858397491991	0.0762994210181315	0.189931616472871	0.849362717027007	0.999457336074246
"(CACAC)n"	1823.60407363481	0.0536174674539136	0.0761807271456024	0.703926948898519	0.481478267842175	0.999457336074246
"RLTR48C"	1606.54825345179	0.115747007731347	0.074305981277816	1.55795966331609	0.119242810337918	0.999457336074246
"MLT1I-int"	326.156784005576	-0.0434144724219677	0.0683657042118845	-0.635625501970147	0.525020543580734	0.999457336074246
"(GTATG)n"	315.939592524078	-0.0128724329659505	0.0565652596410947	-0.227930273867966	0.819700446964308	0.999457336074246
"(CAGCC)n"	1730.12934271781	0.0905174825823196	0.0733933250859144	1.23454679352659	0.216999221314893	0.999457336074246
"(CAGGG)n"	925.812146380686	-0.0258000961541339	0.0642932516549952	-0.401650022338322	0.687941610383287	0.999457336074246
"L5"	548.665219823483	0.0270199379305359	0.0663944590522319	0.407148012190106	0.683899282013178	0.999457336074246
"U5"	925.962281655569	0.11293357121162	0.0674287492939554	1.67997463770312	0.0929622504361621	0.999457336074246
"Tigger17"	1436.40587470566	0.0151150303672582	0.0766024178463362	0.197270683631513	0.843615719616038	0.999457336074246
"MER65-int"	211.08104948907	0.0154134567810335	0.0602475612664101	0.255616565796234	0.798246925620942	NA
"RLTR49"	7221.09753778234	0.0268384256392348	0.0554589046669813	0.483939953096606	0.628428484754321	0.999457336074246
"L1M2a"	1284.01018308115	0.00401017182641253	0.0763922973316667	0.0524838774557841	0.958143141555003	0.999457336074246
"RLTR50A"	1114.73054802839	0.233909496930555	0.0705206015966058	3.34229596746345	0.000830884146400493	0.0762495989735222
"MamGypLTR1d"	539.157094777774	0.0178176603395173	0.0645353424309859	0.276134369676746	0.782444863340244	0.999457336074246
"(CAGAA)n"	309.547274133907	-0.00941191717769864	0.0599427070052441	-0.157231579061475	0.875062341327138	NA
"(CATTA)n"	54.2364927908477	0.00557383907983272	0.0350910688699561	0.15855261559754	0.874021363695215	NA
"MER67D"	2277.9548340261	0.0468463847906	0.0717008537337413	0.653444286966824	0.513469895615016	0.999457336074246
"MER96"	557.111965804597	-0.024542743348739	0.0742196295223905	-0.330659540584446	0.740901666625388	0.999457336074246
"ORSL"	1014.92061581108	-0.149875445484157	0.076316115389267	-1.96462850371659	0.0494572504420299	0.999457336074246
"Charlie10b"	243.809805595479	0.0245518216430906	0.0633529520495286	0.387822082274724	0.698147702759382	NA
"(CAAGA)n"	135.087770100356	-0.0528743121806825	0.0455837695795827	-1.16751138584365	0.243003912966234	NA
"tRNA-Phe-TTY"	240.042067273754	0.0328084031851385	0.0465159682967198	0.707912483625815	0.478999606877721	NA
"ERVB3_1-LTR_MM"	1097.27695836659	-0.0396360173355534	0.0756700171026772	-0.52358743743472	0.600565521026379	0.999457336074246
"LTR101_Mam"	1091.39217143219	-0.0507599571502375	0.0763516091926287	-0.664775063325567	0.506194374546702	0.999457336074246
"MER97c"	325.181463762682	0.0134610146603077	0.0629025772357673	0.214223713377701	0.830372604702398	0.999457336074246
"MER63C"	2680.82996271364	0.0248601415360979	0.076648685840862	0.324291590163599	0.74571728603585	0.999457336074246
"UCON27"	249.73405566064	-0.0172558633093809	0.0533542653226029	-0.323145794863565	0.746584829802921	NA
"RLTR41B"	606.406724294122	0.0635693641611071	0.0703067647962781	0.904836985405162	0.365551754536056	0.999457336074246
"LTR40A1"	464.123350924342	-0.00433556282674005	0.0642370609028494	-0.067562825684738	0.946133648556339	0.999457336074246
"Eulor9C"	182.42523576992	-0.0252268408470958	0.0583887469008988	-0.432668849498241	0.665255363324721	NA
"MLT1B-int"	914.9005120861	-0.139561443736146	0.0765601235067538	-1.82304131896574	0.0682971330957302	0.999457336074246
"UCON25"	102.716635618671	-0.0614624393028989	0.0380660653908566	-1.66425751657171	0.0960609783627509	NA
"RMER16A2"	1664.27685814655	0.0720954160954745	0.0755634049291524	0.954102670318996	0.340031674557416	0.999457336074246
"RLTR10E"	2416.55211860179	0.204320513684481	0.0719121084477393	2.84185705749041	0.00448515963576645	0.267539772273469
"MER5C"	852.826568573119	0.0249220107803817	0.0765871202779959	0.325491452164781	0.744809150919951	0.999457336074246
